Protein	NodeType	ReferencePathway	SigPeptide1	SigPeptide2	SigPeptide3	SigPeptide4	SigPeptide5	SigPeptide6	InsigPeptide1	InsigPeptide2	InsigPeptide3	InsigPeptide4	InsigPeptide5	InsigPeptide6	InsigPeptide7	InsigPeptide8	InsigPeptide9	InsigPeptide10	
KHDR1_HUMAN	Excluded	false							0, -0.14247, 0.389606, 0.547534, 0.388961, 0.426597, 0.503139, -0.037053									
KI18B_HUMAN	Excluded	false							0, -0.136046, 0.041334, -0.11059, 0.190767, 0.039297, 0.2602, 0.285562									
KI21A_HUMAN	Excluded	false							0, 0.695922, 0.432247, 0.66393, 0.768741, 0.764081, 0.953522, 0.807098									
KI67_HUMAN	InsigPrize	false							0, -0.247836, -0.359668, 0.074234, 0.213561, 0.151295, 0.515812, 0.332987	0, -0.321969, -0.798986, -0.500962, -0.374345, -0.33725, -1.00599, -0.488443	0, -0.339159, -0.515831, -0.246907, -0.226833, -0.046626, 0.119782, -0.06163	0, -0.824624, -0.400127, -0.744672, -0.873585, -0.532398, -0.186005, -0.534551	0, -0.009251, -0.219302, 0.068959, -0.167318, -0.417715, -0.036099, 0.106801					
KIF15_HUMAN	InsigPrize	false							0, 0.098271, -0.130567, -0.160882, -0.138729, -0.148705, -0.107063, -0.260434									
KIF4A_HUMAN	SigPrize	false	0, -0.014622, 0.771754, 1.003617, 1.219176, 1.262333, 0.851368, 0.666626															
KKCC1_HUMAN	Steiner	false																
KLC4_HUMAN	InsigPrize	false							0, -0.752941, -0.50857, -0.503263, -0.119294, -0.164985, -0.16071, 0.139361									
KMT2D_HUMAN	Excluded	false							0, -0.294484, -0.176726, -0.145896, -0.071137, -0.232351, -0.404924, 0.15291	0, -0.289493, -0.435595, -0.333542, -0.120678, -0.018709, -0.403481, 0.001893								
KPRA_HUMAN	SigPrize	false	0, -0.389715, -0.890247, -0.593003, -0.633368, -0.769424, -0.851307, -0.038702															
KPRB_HUMAN	Excluded	false							0, -0.307915, 0.46978, -0.899323, -0.59774, -0.349651, -0.498934, -1.027549									
KRI1_HUMAN	Excluded	false							0, 0.009093, 0.153036, 0.145101, -0.279287, -0.0904, -0.044013, -0.289314									
KS6A1_HUMAN	Excluded	true							0, -0.49571, -0.17103, -0.204274, 0.299516, 0.345329, 0.259283, 0.344986	0, -0.13847, -0.097942, 0.148647, 0.068524, 0.223308, 0.406891, 0.261761	0, -0.20499, 0.106717, 0.096812, 0.171841, 0.471718, 0.247307, 0.559693							
KSR1_HUMAN	Excluded	false							0, -0.004786, 0.525154, -0.124912, 0.163654, 0.020556, 0.254746, 0.195989									
KSYK_HUMAN	Excluded	false							0, -0.655187, -0.315637, -0.161495, -0.455546, 0.042949, 0.178658, 0.367824									
LAP2A_HUMAN	Excluded	false							0, -0.14259, 0.126727, -0.245058, 0.08552, 0.227527, 0.001311, 0.495343									
LAP2B_HUMAN	SigPrize	false	0, -0.077955, -0.127907, -0.20629, -0.069828, -0.265266, -0.474701, -0.031634						0, -0.055631, -0.376739, 0.041126, -0.19685, -0.208181, -0.66105, -0.627334	0, -0.07514, -0.451187, 0.265697, -0.609461, -0.181038, -0.24737, -0.324818								
LAP2_HUMAN	Excluded	false							0, 0.445578, -0.088361, -0.623939, -0.355952, -0.361465, -0.055985, -0.041712									
LAR4B_HUMAN	Excluded	false							0, -0.696262, -0.86077, -0.828212, -0.842451, -0.604048, -0.580898, -0.450035									
LARP1_HUMAN	InsigPrize	false							0, 0.910327, 0.478437, 1.020884, 0.137929, 0.352058, 0.304602, -0.372319	0, -0.338352, -0.854998, -0.675398, -0.397044, -0.447781, -0.494502, -0.581805	0, 0.289489, -0.885929, 0.034435, 0.04936, 1.015284, 0.761237, 0.612662	0, -0.409517, -0.053952, -0.515669, -0.156239, -0.056009, 0.001644, 0.1449	0, -0.760953, -0.23255, -0.152885, -0.017189, 0.024151, -0.132361, -0.07085					
LARP4_HUMAN	Excluded	false							0, -0.025854, -0.433465, -0.264787, -0.130818, -0.041891, 0.110891, 0.125744									
LAS1L_HUMAN	SigPrize	false	0, -0.332631, -0.115048, -0.053116, 0.033647, 0.308558, 0.180518, 0.284118															
LA_HUMAN	InsigPrize	false							0, -0.195826, -0.404762, -0.247844, -0.589158, -0.447844, -0.21437, -0.161999	0, -0.215637, -0.895398, -0.609861, -0.731509, -0.673671, -0.708666, -0.296964								
LCK_HUMAN	Excluded	false	0, -0.455026, 0.296452, 1.211669, -0.457078, -0.392733, -0.191248, 0.124898															
LIMA1_HUMAN	Excluded	false							0, -0.085479, 0.167372, 0.008287, -0.033499, 0.046133, 0.169366, 0.029312									
LMNA_HUMAN	Steiner	false																
LMNB2_HUMAN	InsigPrize	false							0, 0.25469, 0.399811, 0.754636, 0.631049, 1.003492, 0.90014, 0.312647									
LMO7_HUMAN	Excluded	false							0, -0.236898, 0.449446, -0.262299, -0.058652, 0.109238, 0.111938, 0.60828									
LR16A_HUMAN	Excluded	false							0, 0.042587, 0.184923, 0.138273, 0.231706, 0.408561, 0.530309, 0.346997									
LRC47_HUMAN	SigPrize	false	0, -0.234986, 1.313657, -0.427888, 0.28299, 0.09374, 0.15267, 0.469448															
LSR_HUMAN	SigPrize	false	0, 0.779014, 0.678808, 0.101609, 0.024079, -0.201095, 0.214694, 0.006785															
LYRIC_HUMAN	InsigPrize	false							0, -0.052544, 0.186415, 0.434141, 0.628393, 0.772808, 0.68244, 0.849816									
M4K5_HUMAN	SigPrize	false	0, 1.568135, 1.127322, 0.684395, 0.682063, 0.26893, 0.041792, 0.061193															
MA7D1_HUMAN	Excluded	false							0, -0.317146, -0.469955, -0.515672, -0.359482, -0.173302, -0.533449, -0.211538									
MA7D3_HUMAN	Excluded	false	0, 0.422253, 0.171851, 0.396818, 0.294223, 0.404471, 0.430822, 0.407138															
MAGD2_HUMAN	Excluded	false							0, 0.211474, 0.670703, 0.354291, 0.025087, 0.216817, 0.561008, 0.35556									
MAGG1_HUMAN	Excluded	false							0, 0.359134, 0.319159, 0.314639, -0.016744, -0.189984, 0.294765, -0.335295	0, 0.344056, -0.137213, 0.066735, -0.222011, 0.149878, 0.048363, -0.372166								
MAP1B_HUMAN	Excluded	false							0, -0.328634, 0.54577, -0.337754, -0.271061, 0.386884, 0.134646, 0.695877	0, 0.144702, 0.427289, 0.305395, 0.090754, 0.709893, 0.582336, 1.167492	0, -0.091264, 0.148691, 0.510574, 0.558965, 0.609667, 0.4463, 0.087201							
MARCS_HUMAN	SigPrize	false	0, 1.98528, 2.579063, 3.202242, 3.455659, 3.480265, 3.614132, 3.928356	0, -0.18015, -0.232162, -0.08644, -0.115809, 0.395953, 0.704541, 1.326784	0, -0.40734, -1.470788, -0.349728, -0.944793, -0.781763, -0.91582, -0.279658				0, 0.676804, 1.116447, 1.60951, 1.856846, 2.216901, 2.084041, 2.629179	0, 0.095081, -1.033748, 0.282941, -0.447174, -0.4788, 0.002697, 0.284168								
MARK2_HUMAN	InsigPrize	false							0, -0.230011, -0.883504, -0.47458, -0.080655, -0.11945, -0.276348, -0.313329									
MBB1A_HUMAN	SigPrize	false	0, -0.047486, -1.013075, -0.378802, -0.373616, -0.177792, -0.254738, -0.018995						0, -0.094739, -0.666868, -0.086553, -0.069113, -0.75854, -0.295113, -0.243613	0, -0.315069, -0.246735, -0.19543, -0.436966, -0.390167, -0.177081, 0.110134								
MBD1_HUMAN	Excluded	false							0, -0.224658, 0.041413, 0.050055, 0.187727, -0.030992, -0.184307, -0.124357									
MCAF1_HUMAN	Excluded	false							0, -0.090106, -0.329712, -0.203062, -0.150825, -0.127483, -0.09925, -0.020512									
MCM2_HUMAN	Excluded	false							0, -0.365066, 0.01953, -0.438546, -0.303473, -0.121921, -0.036562, -0.006785	0, -0.256519, -0.315343, -0.273335, -0.008284, -0.228685, 0.108246, -0.047101	0, -0.363669, -0.319005, -0.236742, -0.463966, -0.462854, -0.282492, -0.945822							
MCM9_HUMAN	Excluded	false							0, -0.461264, -0.81988, -0.415902, -0.289661, -0.447198, -0.25971, 0.161024									
MCMBP_HUMAN	InsigPrize	false							0, 0.542501, -0.274959, 0.652552, -0.302835, -0.521107, -0.107849, -0.104387									
MCRS1_HUMAN	InsigPrize	false							0, -0.225665, -0.75174, -0.263578, -0.238693, -0.310135, -0.387188, -0.327666									
MDC1_HUMAN	Excluded	false							0, -0.074843, -0.081513, -0.148376, -0.092581, -0.140628, -0.00426, 0.25107	0, -0.561174, -0.443162, -0.449369, -0.397293, -0.388618, -0.365451, -0.392727	0, -0.464676, -0.228835, -0.348696, -0.108802, -0.239066, -0.163339, 0.020304							
MDN1_HUMAN	Excluded	false							0, -0.557915, -0.545451, -0.635509, -0.771609, -0.447679, -0.390647, -0.328001									
MECP2_HUMAN	Steiner	false																
MED12_HUMAN	Excluded	false							0, -0.228229, -0.645341, -0.122717, -0.208769, -0.259619, 0.074919, 0.18289									
MED13_HUMAN	Excluded	false							0, -0.16356, -0.035033, -0.070758, 0.261361, 0.287975, 0.199277, 0.435503									
MED8_HUMAN	Excluded	false							0, -0.457102, -0.224987, -0.393693, -0.227057, 0.198642, -0.130755, -0.243501									
MEP50_HUMAN	Excluded	false							0, -0.04292, -0.192509, 0.02384, -0.377997, 0.067312, 0.014738, 0.170472	0, -0.433562, -0.412044, -0.314842, -0.129282, -0.01613, -0.041705, -0.360773								
MEPCE_HUMAN	Excluded	false							0, -0.382126, -0.279571, -0.357903, -0.29419, -0.283499, -0.307824, -0.620092	0, -2.622233, -1.043221, -0.20493, 0.477614, 0.670541, 0.530031, 0.037086								
MFAP1_HUMAN	Excluded	false							0, -0.206262, -0.437087, -0.561454, -0.396509, -0.617556, -0.106476, -0.020376	0, 0.116752, 0.242365, 0.16403, -0.100353, -0.034958, -0.018261, 0.07914	0, 0.109906, 0.457952, -0.040228, 0.032501, 0.20086, 0.389774, 1.014273	0, -0.111597, -0.10788, -0.148702, -0.09885, -0.038252, 0.05349, 0.157016						
MGMT_HUMAN	Excluded	false							0, 0.40368, -0.057105, 0.739312, -0.042726, -0.493353, -0.288139, -0.74943									
MIPT3_HUMAN	SigPrize	false	0, -0.489177, -0.111614, -0.444289, -0.359366, 0.037169, -0.172693, -0.524559															
MK01_HUMAN	SigPrize	true	0, 2.464732, 2.78255, 2.764027, 2.739065, 2.687982, 2.573156, 2.376973						0, 0.502672, 0.592836, 0.849932, 0.526327, 0.720078, 0.423329, 0.517241									
MK03_HUMAN	SigPrize	true	0, 1.953634, 2.26984, 2.329998, 2.210559, 2.227324, 2.149876, 2.186486	0, 2.700195, 3.008742, 3.028985, 2.898179, 2.88731, 2.742536, 2.635094														
MK09_HUMAN	InsigPrize	false							0, -0.348958, -0.370795, -0.049132, -0.129139, 0.052571, 0.008012, 0.090882									
MK13_HUMAN	Excluded	false							0, -0.396655, -0.398397, -0.125623, -0.427226, -0.40971, -0.264069, 0.199028									
MK14_HUMAN	Excluded	true	0, 0.314925, 0.88151, 0.846341, 0.553399, 0.566652, 0.71842, 0.886023						0, 0.246231, 0.972889, 0.893883, 0.535216, 0.661723, 0.806813, 0.393107									
MKL1_HUMAN	SigPrize	false	0, 1.151917, 1.811843, 2.141121, 2.071849, 1.536123, 1.445435, 0.659678															
MKX_HUMAN	SigPrize	false	0, -0.109718, -0.414542, 0.036325, -0.075172, -0.14694, -0.389539, -0.755791															
ML12A_HUMAN	Excluded	false							0, -0.062755, 0.217918, -0.431203, 0.420268, -0.209102, -0.284214, -0.15287									
MMTA2_HUMAN	Excluded	false							0, 0.115352, 0.188023, 0.098132, -0.1336, 0.04877, 0.173833, 0.123116	0, -0.104997, 0.071268, -0.064116, -0.092889, -0.187246, -0.175636, -0.271764	0, -0.067676, 0.134399, -0.180094, -0.143112, -0.265695, 0.018991, -0.205415							
MP2K1_HUMAN	Steiner	true																
MP2K7_HUMAN	Excluded	true							0, -0.14959, 0.029454, -0.021115, -0.598784, -0.411172, -0.232247, -0.077891									
MPP5_HUMAN	Excluded	false							0, -0.165218, 0.031795, 0.414448, 0.573919, 0.156826, -0.034705, -0.149823									
MPRI_HUMAN	InsigPrize	false							0, -0.374051, -0.214382, -0.716972, -0.807613, -0.579509, -0.349573, 0.033726									
MPZL1_HUMAN	InsigPrize	false							0, -0.501816, -0.47344, -0.376655, 0.075748, 0.152828, 0.120655, -0.651513									
MRE11_HUMAN	InsigPrize	false							0, -0.047648, 0.373316, -0.051298, 0.07501, 0.161935, 0.228921, 0.514943	0, -0.007533, -0.344959, -0.242426, -0.39559, -0.214302, -0.100886, -0.044064								
MYH10_HUMAN	InsigPrize	false							0, -0.323241, -0.143009, -0.056501, -0.010587, 0.137435, -0.074087, 0.065448	0, 0.211037, 0.855392, 0.411878, 0.266784, 0.096373, -0.301985, -0.55437								
MYH9_HUMAN	Excluded	false							0, -0.190965, -0.977574, -0.449698, -0.540235, -0.607168, -0.242618, -0.34541									
MYO6_HUMAN	InsigPrize	false							0, 1.342082, 1.858593, 0.674503, 0.56864, 0.555902, 0.734901, -0.26355									
NAA10_HUMAN	Excluded	false							0, 0.269636, 0.136879, 0.338991, -0.042744, 0.086423, 0.042389, -0.174511									
NACA_HUMAN	Excluded	false							0, -0.302676, -0.081807, -0.242154, -0.217839, -0.341146, -0.087512, 0.247852	0, -0.621165, -0.173494, -0.432396, -0.361243, -0.379453, -0.370986, 0.01886	0, -0.286793, -0.14845, -0.15301, -0.227695, -0.254364, -0.099326, 0.316517							
NADAP_HUMAN	Excluded	false							0, 0.071173, 0.710299, 0.142991, 0.033848, 0.115704, 0.430257, 0.391344	0, -0.135728, -0.018877, -0.177086, -0.288374, -0.067339, -0.143457, 0.162852	0, -0.243156, 0.107986, 0.133398, -0.116491, 0.018573, 0.072535, -0.024197							
NASP_HUMAN	Excluded	false							0, 0.127799, 0.561954, 0.215867, 0.309949, 0.221157, 0.288359, 0.349373	0, 0.05309, 0.218651, -0.016967, 0.126689, -0.069433, 0.220171, 0.218488								
NCOR2_HUMAN	Excluded	false							0, -0.358347, -0.283187, -0.446757, -0.194169, -0.188502, -0.015743, -0.042526									
NEK6_HUMAN	Steiner	false																
NELFE_HUMAN	InsigPrize	false							0, 0.236315, 0.744145, 1.164221, 1.008824, 0.831702, 0.83262, 1.096002									
NHLC2_HUMAN	SigPrize	false	0, -0.604233, -0.627446, -0.607173, -0.365604, -0.307982, -0.134731, -0.212849															
NHRF1_HUMAN	Excluded	false							0, -0.281635, -0.351625, 0.030996, 0.185384, 0.123923, -0.173086, -0.244013									
NIPA_HUMAN	Excluded	false							0, -0.096648, -0.29383, -0.29039, -0.434302, -0.385172, -0.339229, -0.274844	0, -0.088697, -0.243616, 0.298358, 0.55472, 0.743098, 0.27551, 0.418218								
NIPBL_HUMAN	InsigPrize	false							0, -0.008128, -0.063945, -0.32566, 0.053382, 0.214763, -0.177951, -0.257218	0, 0.082123, 0.601644, 0.279983, -0.098287, 0.027296, 0.398111, 0.08649								
NJMU_HUMAN	Excluded	false							0, 0.16151, -0.122229, 0.097292, -0.359473, -0.19308, -0.415799, -0.40387									
NKAP_HUMAN	SigPrize	false	0, -0.183284, -1.232771, -0.404799, -0.552783, -0.383437, -0.301122, -0.485725						0, -0.224388, -0.152487, -0.039779, -0.165759, -0.011385, -0.061294, -0.145779									
NMD3_HUMAN	Excluded	false							0, -0.29589, 0.592585, -0.356176, -0.253797, -0.142157, 0.063953, 0.263094	0, -0.909534, -0.51244, -1.017029, -0.685956, -0.545822, -0.433243, -0.486672								
NOC2L_HUMAN	Excluded	false	0, -0.606256, -0.54091, -0.51684, -0.445897, -0.382536, -0.328726, -0.083803						0, -0.272664, 0.438834, -0.493488, -0.173698, -0.33067, -0.172195, 0.083561	0, -0.235553, -0.59789, -0.48578, -0.156292, -0.37577, -0.28758, -0.082896	0, 0.398274, 0.389377, 0.460202, 0.069442, 0.286789, 0.256194, -0.011337							
NOL9_HUMAN	Excluded	false							0, -0.147814, -0.53748, 0.053049, -0.558548, -0.219322, 0.034738, 0.201283									
NOP2_HUMAN	Excluded	false							0, -0.559548, -0.821983, -0.279453, -0.498626, -0.24132, -0.131659, -0.145559									
NOVA1_HUMAN	Excluded	false							0, -0.352019, -0.337714, -0.189351, -0.119879, 0.049055, 0.108931, 0.041792									
NP1L1_HUMAN	Excluded	false	0, -0.365893, -0.177098, -0.591953, -0.465795, -0.527565, -0.450876, -0.576721															
NPM_HUMAN	Excluded	false	0, -0.112517, -0.625929, -0.180706, -0.357174, -0.23533, -0.328429, -0.174942						0, -0.059153, -0.055331, -0.065665, -0.499984, -0.382872, -0.151573, 0.146053	0, -0.021818, -0.553451, -0.034465, -0.138751, -0.034061, 0.138899, 0.373719	0, -0.139181, 0.303478, -0.188498, 0.013268, -0.146331, 0.29567, 0.386463	0, -0.727701, -0.453631, -0.227892, -0.257897, -0.160145, 0.038225, 0.189062	0, -0.150282, -0.543355, -0.201941, -0.233309, -0.274628, -0.031096, 0.07127					
NRBP_HUMAN	InsigPrize	false							0, 0.116005, 0.467474, -0.153596, 0.009764, -0.084466, 0.260741, 0.394575									
NSD1_HUMAN	Excluded	false							0, -0.160285, -0.033538, -0.257534, -0.138355, -0.163148, -0.317967, -0.388851									
NSF1C_HUMAN	SigPrize	false	0, 0.64291, 0.426612, -0.033207, 0.14865, -0.013879, -0.023062, 0.116986															
NSUN2_HUMAN	Excluded	false							0, -0.183818, -0.824252, -0.699174, -0.92204, -0.651762, -0.421098, -0.023289	0, -0.811412, -0.341226, -0.712971, -0.337264, 0.007747, -0.082104, -0.175045								
NUCKS_HUMAN	SigPrize	false	0, 0.3364, -0.636407, 0.709037, -0.659021, -0.681944, -0.506334, -0.329033	0, -0.388098, 0.633996, -0.242836, -0.167841, 0.293311, 0.063695, 0.2567					0, -0.026583, -0.261619, -0.215112, -0.132968, -0.030964, 0.0179, 0.205026	0, 0.132816, 0.608523, 0.336299, 0.189052, 0.438613, 0.571045, 0.64799	0, 0.002726, 0.310048, -0.134631, -0.153267, -0.008403, 0.289849, -0.110728	0, 0.774777, 0.145342, 0.982523, 0.090372, 0.595724, 0.396801, 0.287465	0, 0.793847, 0.863177, 0.962823, -0.052924, 0.38172, 0.598901, 0.5526	0, 0.220667, -0.790638, -0.333752, -0.348893, -0.236403, -0.316869, 0.232284	0, -0.574853, -0.263853, -0.525354, -0.212363, -0.12928, -0.222455, -0.068126	0, -0.029483, -0.169221, -0.206275, -0.338589, -0.307681, -0.132529, 0.250617	0, -0.359455, -0.503166, -0.3482, -0.272103, -0.467465, -0.22578, 0.103476	0, 0.167685, -0.319911, -0.115624, 0.008672, 0.088511, 0.117543, 0.553614
NUCL_HUMAN	SigPrize	false	0, -0.048075, -0.497635, -0.279949, -0.083054, -0.309405, 0.062888, -0.158809															
NUFP2_HUMAN	Excluded	false							0, -0.617475, -0.658408, 0.065084, 0.178978, -0.134361, 0.555012, 0.555705	0, -0.454795, 0.231553, 0.011188, -0.061015, -0.101649, -0.126626, 0.184302								
NUMA1_HUMAN	Excluded	false							0, -0.070216, -0.231715, 0.218007, 0.031361, 0.000842, 0.048844, 0.534358									
NUP50_HUMAN	Excluded	false	0, 0.187985, 0.792927, 1.964749, 1.931136, 1.586121, 1.036675, 1.168814															
NUP53_HUMAN	Excluded	false							0, -0.069153, -0.48697, -0.167346, 0.0351, -0.353839, -0.012442, -0.05301									
NUP62_HUMAN	SigPrize	false	0, 0.125338, 0.118288, 0.744235, 0.777178, 0.977976, 1.184932, 1.409364															
NUP98_HUMAN	InsigPrize	false							0, -0.841468, -0.113909, -1.093713, -0.624834, -0.797503, -0.448767, -0.175601									
ODPA_HUMAN	Excluded	false							0, -0.141557, 0.067457, 0.139441, -0.14673, 0.031528, -0.437371, -1.351491									
OPTN_HUMAN	SigPrize	false	0, -0.032931, 0.688733, 0.958233, 1.362713, 1.430256, 1.397201, 1.169453															
OSBP1_HUMAN	SigPrize	false	0, -0.181902, -0.286981, -0.149019, -0.21533, -0.337455, -0.136529, 0.164995						0, -0.057478, 0.087445, -0.121804, -0.196654, -0.340899, 0.055725, 0.232923									
OTUD4_HUMAN	Excluded	false							0, -0.331049, -0.345661, -0.349392, -0.313364, 0.038951, 0.11661, -0.108407	0, -0.112375, 0.016841, -0.204837, -0.040664, -0.04666, 0.113173, 0.105585								
OTUD5_HUMAN	Excluded	false							0, -0.346229, -0.430406, -0.361296, -0.103517, -0.387096, -0.216913, -0.03438	0, -0.29546, -0.008699, -0.29197, -0.303308, -0.026075, -0.053065, -0.064996								
OTUL_HUMAN	SigPrize	false	0, 3.023461, 2.424965, 2.233704, 1.783018, 1.13936, 0.570082, 0.079765															
OXSR1_HUMAN	Excluded	false							0, -0.03254, -0.170766, -0.099782, -0.113695, -0.152756, 0.087832, 0.281329									
P3C2A_HUMAN	Excluded	false							0, -0.098455, -0.026162, 0.100349, 0.245848, 0.434178, 0.628619, 0.509913									
P53_HUMAN	Excluded	true							0, 0.126145, -0.09841, -0.100349, -0.26997, -0.201905, -0.10815, -0.275044									
P66B_HUMAN	Excluded	false							0, 0.072539, -0.127352, -0.217743, 0.333061, 0.398469, 0.404199, 0.033828									
PAIRB_HUMAN	SigPrize	false	0, -0.393304, -0.317617, -0.304039, -0.3207, -0.362984, -0.496986, -0.591708															
PAK1_HUMAN	Steiner	true																
PAK4_HUMAN	Excluded	false							0, 0.040361, 0.175273, -0.162709, -0.359194, -0.353296, -0.026841, 0.28539									
PALLD_HUMAN	InsigPrize	false							0, 0.068914, 0.717168, 0.478317, -0.196428, 0.501453, 0.587745, 0.411888									
PANK2_HUMAN	SigPrize	false	0, -0.196893, -0.119916, -0.401466, -0.108564, -0.018335, 0.083321, 0.203012						0, 0.015696, -0.045185, -0.192013, -0.122522, -0.364718, -0.230426, -0.787017									
PARD3_HUMAN	SigPrize	false	0, -0.586986, -0.559387, -0.510244, -0.592794, -0.292557, -0.116098, 0.118019						0, -0.559191, -0.505933, -0.182247, -0.252569, -0.049802, 0.330843, 0.359494	0, -0.815428, -0.634119, -0.427119, -0.331303, -0.073239, 0.099869, 0.210008	0, -0.492852, -0.532397, -0.536534, -0.483798, -0.403656, -0.354638, 0.126221							
PAXB1_HUMAN	Excluded	false							0, 0.130059, -0.164293, -0.212955, -0.305732, -0.233207, -0.241958, -0.522952									
PAXI_HUMAN	Excluded	true	0, -0.391882, -0.483967, -0.474545, -0.501075, -0.315057, 0.116339, 0.084279						0, 0.29372, 0.606084, 0.725719, 0.882879, 0.917101, 0.938238, 0.479254									
PCBP1_HUMAN	Excluded	false							0, -0.295232, -0.378905, 0.287016, -0.000853, -0.059257, 0.424266, -0.620534	0, -0.066431, -0.274994, -0.346629, 0.078527, -0.043807, -0.424951, -0.505613								
PCM1_HUMAN	Excluded	false							0, -0.227074, -0.084773, -0.253944, 0.272545, -0.081806, 0.046342, -0.041381	0, -0.454289, -0.173208, -0.277777, -0.041728, -0.020829, 0.040626, -0.413006								
PCNP_HUMAN	Excluded	false							0, -0.075125, 0.086764, -0.093844, -0.059899, 0.207478, 0.100373, 0.527024									
PDCD4_HUMAN	InsigPrize	false							0, 0.07583, -0.019916, 0.115164, 0.149571, 0.054203, 0.083078, -0.552781									
PDIA6_HUMAN	SigPrize	false	0, -0.276181, -0.416256, -0.106343, -0.204838, -0.251966, -0.091558, 0.160087						0, 0.10235, 0.726216, 0.16956, 0.550637, 0.783239, 1.140168, 1.584347									
PDLI1_HUMAN	SigPrize	false	0, 0.96597, 0.511276, 0.480316, 0.414543, 0.096191, 0.017308, 0.142357						0, 0.154266, -0.063011, -0.084979, 0.000581, -0.087424, -0.496455, -0.196962									
PDS5A_HUMAN	SigPrize	false	0, -0.340958, -1.087026, -0.907624, -0.975325, -0.550582, -0.905647, -0.61766						0, -0.186485, -0.574771, -0.101698, -0.026169, 0.179217, -0.168623, -0.153586									
PDS5B_HUMAN	InsigPrize	false							0, 0.043415, 0.346553, -0.042997, 0.167569, 0.056163, 0.191763, -0.244422									
PEBB_HUMAN	SigPrize	false	0, 0.819663, 1.290986, 1.533271, 1.146079, 0.739428, 0.139418, -0.24825															
PELP1_HUMAN	Excluded	false							0, -0.460416, -0.020493, -0.191259, -0.277723, -0.205417, -0.27969, 0.34162									
PGAM1_HUMAN	SigPrize	false	0, -0.66879, -0.682827, -0.597217, -0.570309, -0.321039, -0.271392, -0.239181															
PGRC1_HUMAN	SigPrize	false	0, -0.559442, -0.001253, -1.000975, -0.465167, -0.349379, -0.207192, -0.299368						0, -0.144645, -0.157573, -0.258847, -0.229001, -0.201611, 0.025734, 0.093508									
PHAG1_HUMAN	InsigPrize	false							0, 0.101141, -0.157801, -0.250828, -0.341158, -0.167924, -0.056806, -0.114997	0, 0.049483, -0.072741, -0.422097, -0.452569, -0.37837, -0.230528, -0.305831	0, -0.01159, -0.391171, -0.334284, -0.194039, -0.176801, -0.331884, -0.369978							
PHIP_HUMAN	InsigPrize	false							0, 0.154883, 0.152108, 0.060267, -0.049788, -0.302496, -0.149929, -0.76701									
PI4KA_HUMAN	InsigPrize	false							0, -0.516808, -0.480524, -0.093621, 0.03263, -0.19739, 0.122203, 0.008876	0, -0.561676, -0.62914, -0.176217, -0.009862, -0.037909, -0.143292, -0.030952								
PIAS1_HUMAN	InsigPrize	false							0, -0.219411, -0.244974, -0.080886, -0.13852, -0.232937, -0.529208, -0.712411									
PININ_HUMAN	SigPrize	false	0, 0.038346, -0.232656, 0.459397, 0.274474, 0.512156, 0.389193, 0.440772						0, -0.228796, -0.327117, -0.111452, 0.245794, -0.477978, -0.167904, -0.03715	0, -0.523765, -0.861868, -0.003394, -1.221888, -1.502734, -0.983908, -1.333079								
PKN2_HUMAN	Excluded	true							0, 0.134435, -0.299054, -0.342712, 0.167244, 0.09478, 0.020622, 0.059814									
PKP2_HUMAN	Excluded	false							0, -0.134086, -0.223656, 0.078261, -0.054501, 0.027146, 0.367907, 0.224895									
PKP4_HUMAN	SigPrize	false	0, -0.687661, -1.181292, -0.890063, -0.6713, -0.442331, -0.392467, 0.11749	0, -1.043431, -1.003642, -1.081107, -0.75299, -0.502661, -0.477096, -0.449638														
PLCG1_HUMAN	SigPrize	true	0, 0.460334, 0.007242, -0.013302, -0.167016, -0.338501, -0.284115, -0.548137	0, 1.350584, 0.780768, 0.781528, 0.525255, 0.369824, 0.353946, 0.217683	0, 2.659155, 2.187131, 1.915207, 1.691222, 0.788724, 0.263281, -0.118088													
PLEC_HUMAN	Excluded	true							0, 0.002775, 0.419695, -0.098639, -0.238747, -0.056058, 0.099265, 0.042225	0, -0.428817, -0.31031, -0.312271, -0.052804, 0.053576, -0.02007, 0.065587								
PLSL_HUMAN	SigPrize	false	0, -0.848562, -0.691686, -0.700068, -0.688178, -0.518874, -0.23875, -0.135212															
PNKP_HUMAN	InsigPrize	false							0, 0.016498, -0.34844, -0.460697, -0.422411, -0.189957, -0.314876, -0.077635									
PO2F1_HUMAN	Excluded	false							0, -0.499357, -1.027912, -0.65309, -0.228804, -0.735764, -0.490257, -0.50055	0, 0.119409, -0.084343, -0.031935, 0.280532, 0.12533, 0.257447, 0.291115								
PODXL_HUMAN	Excluded	false							0, 0.34627, -0.304475, -0.453805, -0.099301, -0.271776, -0.368084, 0.320918									
POGZ_HUMAN	InsigPrize	false							0, -0.046741, -0.684628, -0.210626, -0.002854, -0.344914, -0.05295, -0.124349									
PP1B_HUMAN	SigPrize	false	0, 0.401271, 0.509797, 0.382226, 0.475033, 0.153964, 0.164617, -0.259642															
PP6R3_HUMAN	Excluded	false							0, -0.422646, -0.487222, -0.37154, -0.212077, -0.240136, -0.261937, -0.108161									
PPHLN_HUMAN	Excluded	false							0, -0.252706, 0.197843, -0.221946, -0.197936, -0.373334, -0.555755, -0.115516									
