Protein	NodeType	ReferencePathway	SigPeptide1	SigPeptide2	SigPeptide3	SigPeptide4	SigPeptide5	SigPeptide6	InsigPeptide1	InsigPeptide2	InsigPeptide3	InsigPeptide4	InsigPeptide5	InsigPeptide6	InsigPeptide7	InsigPeptide8	InsigPeptide9	InsigPeptide10	
ATX2L_HUMAN	SigPrize	false	0, 0.017455, 0.083898, 0.333999, 0.48378, 0.754366, 1.024414, 1.804278						0, 0.003599, -0.083924, -0.163633, -0.225108, -0.063943, -0.289714, 0.058636	0, -0.112606, -0.258737, -0.253274, -0.254032, -0.194599, -0.561859, -0.801135	0, 0.12918, 0.172234, 0.149728, -0.052734, -0.115971, -0.209379, 0.156802	0, 0.137802, 0.41753, -0.053283, 0.025132, 0.005014, -0.231831, 0.053757	0, -0.129675, 0.436846, 0.476036, 0.635791, 0.936263, 0.897118, 1.263584					
ATX2_HUMAN	Steiner	false																
AZI1_HUMAN	Excluded	false							0, 0.4066, 0.245238, 0.946792, 0.61292, 0.545194, 0.638966, -0.261004	0, -0.160989, -0.319307, -0.578176, -0.609862, -0.473052, -0.588322, -0.922454								
B2L13_HUMAN	Excluded	false							0, 0.010733, -0.307883, -0.314182, -0.203258, -0.117052, -0.303939, -0.087807									
B4DGC6_HUMAN	Excluded	false							0, -0.689841, -0.06999, -0.514218, -0.59785, -0.311663, -0.134503, -0.180567									
B4DM10_HUMAN	Excluded	false							0, -0.803459, -0.227603, 0.30793, 0.049178, -0.297248, -0.230431, -0.014875									
B4DQA8_HUMAN	Excluded	false							0, -0.131632, 0.244075, -0.2725, 0.169121, 0.049106, -0.03833, -0.002897									
B4DQQ2_HUMAN	Excluded	false							0, -0.05369, 0.000109, -0.213426, 0.008584, -0.241728, 0.181143, 0.441916									
B4DSL6_HUMAN	Excluded	false							0, -0.610495, -0.847668, -0.684134, -0.19506, -0.39556, -0.498466, -0.554003									
B4DZC2_HUMAN	Excluded	false							0, 0.026868, 0.085047, -0.129068, 0.082773, 0.261251, 0.238948, 0.401512									
