"SUID","interaction","name","selected","shared interaction","shared name"
"582","None","CSK21_HUMAN (None) FNBP4_HUMAN","false","None","CSK21_HUMAN (None) FNBP4_HUMAN"
"583","Unknown","CSK21_HUMAN (Unknown) DNLI1_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) DNLI1_HUMAN"
"584","Unknown","CSK21_HUMAN (Unknown) DDX58_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) DDX58_HUMAN"
"585","None","CSK21_HUMAN (None) DDX54_HUMAN","false","None","CSK21_HUMAN (None) DDX54_HUMAN"
"586","None","CSK21_HUMAN (None) DDX21_HUMAN","false","None","CSK21_HUMAN (None) DDX21_HUMAN"
"587","None","CSK21_HUMAN (None) CXCL7_HUMAN","false","None","CSK21_HUMAN (None) CXCL7_HUMAN"
"588","Unknown","CSK21_HUMAN (Unknown) CFDP1_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) CFDP1_HUMAN"
"589","Unknown","CSK21_HUMAN (Unknown) CDK1_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) CDK1_HUMAN"
"590","None","CSK21_HUMAN (None) BMS1_HUMAN","false","None","CSK21_HUMAN (None) BMS1_HUMAN"
"591","None","CSK21_HUMAN (None) BCLF1_HUMAN","false","None","CSK21_HUMAN (None) BCLF1_HUMAN"
"592","Unknown","CSK21_HUMAN (Unknown) AT2B1_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) AT2B1_HUMAN"
"593","Unknown","CSK21_HUMAN (Unknown) AR6P4_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) AR6P4_HUMAN"
"594","Unknown","CSK21_HUMAN (Unknown) AKT1_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) AKT1_HUMAN"
"595","Unknown","CSK21_HUMAN (Unknown) ABCF1_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) ABCF1_HUMAN"
"596","None","CRKL_HUMAN (None) TENC1_HUMAN","false","None","CRKL_HUMAN (None) TENC1_HUMAN"
"597","None","CRKL_HUMAN (None) STA5A_HUMAN","false","None","CRKL_HUMAN (None) STA5A_HUMAN"
"598","None","CRKL_HUMAN (None) M4K5_HUMAN","false","None","CRKL_HUMAN (None) M4K5_HUMAN"
"599","None","CRKL_HUMAN (None) CBL_HUMAN","false","None","CRKL_HUMAN (None) CBL_HUMAN"
"600","None","CRKL_HUMAN (None) BCAR1_HUMAN","false","None","CRKL_HUMAN (None) BCAR1_HUMAN"
"601","None","CRKL_HUMAN (None) ARHG5_HUMAN","false","None","CRKL_HUMAN (None) ARHG5_HUMAN"
"602","Unknown","CP3A4_HUMAN (Unknown) PGRC1_HUMAN","false","Unknown","CP3A4_HUMAN (Unknown) PGRC1_HUMAN"
"603","None","CHD4_HUMAN (None) SUMO2_HUMAN","false","None","CHD4_HUMAN (None) SUMO2_HUMAN"
"604","Activation","CHD4_HUMAN (Activation) SMCA4_HUMAN","false","Activation","CHD4_HUMAN (Activation) SMCA4_HUMAN"
"605","None","CHD4_HUMAN (None) HDAC2_HUMAN","false","None","CHD4_HUMAN (None) HDAC2_HUMAN"
"606","Unknown","SAT1_HUMAN (Unknown) T22D4_HUMAN","false","Unknown","SAT1_HUMAN (Unknown) T22D4_HUMAN"
"607","None","SAT1_HUMAN (None) SPB1_HUMAN","false","None","SAT1_HUMAN (None) SPB1_HUMAN"
"608","Unknown","SAT1_HUMAN (Unknown) FUND2_HUMAN","false","Unknown","SAT1_HUMAN (Unknown) FUND2_HUMAN"
"609","Unknown","SAT1_HUMAN (Unknown) RLA1_HUMAN","false","Unknown","SAT1_HUMAN (Unknown) RLA1_HUMAN"
"610","Unknown","SAT1_HUMAN (Unknown) CH10_HUMAN","false","Unknown","SAT1_HUMAN (Unknown) CH10_HUMAN"
"611","Inhibition","DDX55_HUMAN (Inhibition) SPB1_HUMAN","false","Inhibition","DDX55_HUMAN (Inhibition) SPB1_HUMAN"
"612","None","DDX55_HUMAN (None) DDX54_HUMAN","false","None","DDX55_HUMAN (None) DDX54_HUMAN"
"613","None","CEBPZ_HUMAN (None) SUMO2_HUMAN","false","None","CEBPZ_HUMAN (None) SUMO2_HUMAN"
"614","None","CEBPZ_HUMAN (None) DDX55_HUMAN","false","None","CEBPZ_HUMAN (None) DDX55_HUMAN"
"615","Unknown","MECP2_HUMAN (Unknown) CDKL5_HUMAN","false","Unknown","MECP2_HUMAN (Unknown) CDKL5_HUMAN"
"616","None","CDK16_HUMAN (None) CDK5_HUMAN","false","None","CDK16_HUMAN (None) CDK5_HUMAN"
"617","None","CDK16_HUMAN (None) 1433G_HUMAN","false","None","CDK16_HUMAN (None) 1433G_HUMAN"
"618","None","TOP2B_HUMAN (None) SUMO2_HUMAN","false","None","TOP2B_HUMAN (None) SUMO2_HUMAN"
"619","None","NUP98_HUMAN (None) TPR_HUMAN","false","None","NUP98_HUMAN (None) TPR_HUMAN"
"620","Unknown","MP2K1_HUMAN (Unknown) MK03_HUMAN","false","Unknown","MP2K1_HUMAN (Unknown) MK03_HUMAN"
"621","None","MP2K1_HUMAN (None) MK01_HUMAN","false","None","MP2K1_HUMAN (None) MK01_HUMAN"
"622","Unknown","LMNA_HUMAN (Unknown) TOIP1_HUMAN","false","Unknown","LMNA_HUMAN (Unknown) TOIP1_HUMAN"
"623","Unknown","KI67_HUMAN (Unknown) KIF15_HUMAN","false","Unknown","KI67_HUMAN (Unknown) KIF15_HUMAN"
"624","None","GAPD1_HUMAN (None) LRC47_HUMAN","false","None","GAPD1_HUMAN (None) LRC47_HUMAN"
"625","Activation","DDX3X_HUMAN (Activation) IF4G1_HUMAN","false","Activation","DDX3X_HUMAN (Activation) IF4G1_HUMAN"
"626","Inhibition","CDK1_HUMAN (Inhibition) TOP2B_HUMAN","false","Inhibition","CDK1_HUMAN (Inhibition) TOP2B_HUMAN"
"627","Unknown","CDK1_HUMAN (Unknown) TCOF_HUMAN","false","Unknown","CDK1_HUMAN (Unknown) TCOF_HUMAN"
"628","Inhibition","CDK1_HUMAN (Inhibition) STMN1_HUMAN","false","Inhibition","CDK1_HUMAN (Inhibition) STMN1_HUMAN"
"629","Activation","CDK1_HUMAN (Activation) PUR6_HUMAN","false","Activation","CDK1_HUMAN (Activation) PUR6_HUMAN"
"630","Unknown","CDK1_HUMAN (Unknown) PTN2_HUMAN","false","Unknown","CDK1_HUMAN (Unknown) PTN2_HUMAN"
"631","Unknown","CDK1_HUMAN (Unknown) NUP98_HUMAN","false","Unknown","CDK1_HUMAN (Unknown) NUP98_HUMAN"
"632","Unknown","CDK1_HUMAN (Unknown) NUCKS_HUMAN","false","Unknown","CDK1_HUMAN (Unknown) NUCKS_HUMAN"
"633","Inhibition","CDK1_HUMAN (Inhibition) NSF1C_HUMAN","false","Inhibition","CDK1_HUMAN (Inhibition) NSF1C_HUMAN"
"634","Unknown","CDK1_HUMAN (Unknown) MP2K1_HUMAN","false","Unknown","CDK1_HUMAN (Unknown) MP2K1_HUMAN"
"635","Unknown","CDK1_HUMAN (Unknown) LMNA_HUMAN","false","Unknown","CDK1_HUMAN (Unknown) LMNA_HUMAN"
"636","Unknown","CDK1_HUMAN (Unknown) KI67_HUMAN","false","Unknown","CDK1_HUMAN (Unknown) KI67_HUMAN"
"637","Unknown","CDK1_HUMAN (Unknown) GAPD1_HUMAN","false","Unknown","CDK1_HUMAN (Unknown) GAPD1_HUMAN"
"638","Activation","CDK1_HUMAN (Activation) DNM1L_HUMAN","false","Activation","CDK1_HUMAN (Activation) DNM1L_HUMAN"
"639","Unknown","CDK1_HUMAN (Unknown) DNLI1_HUMAN","false","Unknown","CDK1_HUMAN (Unknown) DNLI1_HUMAN"
"640","Inhibition","CDK1_HUMAN (Inhibition) DDX3X_HUMAN","false","Inhibition","CDK1_HUMAN (Inhibition) DDX3X_HUMAN"
"641","Unknown","CDK1_HUMAN (Unknown) APC1_HUMAN","false","Unknown","CDK1_HUMAN (Unknown) APC1_HUMAN"
"642","Unknown","CDK1_HUMAN (Unknown) 41_HUMAN","false","Unknown","CDK1_HUMAN (Unknown) 41_HUMAN"
"643","None","CD2AP_HUMAN (None) CBL_HUMAN","false","None","CD2AP_HUMAN (None) CBL_HUMAN"
"644","None","CBLB_HUMAN (None) EGFR_HUMAN","false","None","CBLB_HUMAN (None) EGFR_HUMAN"
"645","None","C2TA_HUMAN (None) IRF2_HUMAN","false","None","C2TA_HUMAN (None) IRF2_HUMAN"
"646","None","BMS1_HUMAN (None) SUMO2_HUMAN","false","None","BMS1_HUMAN (None) SUMO2_HUMAN"
"647","None","DNMT1_HUMAN (None) HDAC2_HUMAN","false","None","DNMT1_HUMAN (None) HDAC2_HUMAN"
"648","None","BAZ2A_HUMAN (None) SUMO2_HUMAN","false","None","BAZ2A_HUMAN (None) SUMO2_HUMAN"
"649","None","BAZ2A_HUMAN (None) DNMT1_HUMAN","false","None","BAZ2A_HUMAN (None) DNMT1_HUMAN"
"650","None","ATX2L_HUMAN (None) SUMO2_HUMAN","false","None","ATX2L_HUMAN (None) SUMO2_HUMAN"
"651","Unknown","CDK5_HUMAN (Unknown) DNMT1_HUMAN","false","Unknown","CDK5_HUMAN (Unknown) DNMT1_HUMAN"
"652","Unknown","CDK5_HUMAN (Unknown) ATM_HUMAN","false","Unknown","CDK5_HUMAN (Unknown) ATM_HUMAN"
"653","Inhibition","CDK5_HUMAN (Inhibition) ATX2L_HUMAN","false","Inhibition","CDK5_HUMAN (Inhibition) ATX2L_HUMAN"
"654","None","ATX2_HUMAN (None) PLSL_HUMAN","false","None","ATX2_HUMAN (None) PLSL_HUMAN"
"655","None","TAOK1_HUMAN (None) MARK2_HUMAN","false","None","TAOK1_HUMAN (None) MARK2_HUMAN"
"656","Unknown","SMC3_HUMAN (Unknown) WAPL_HUMAN","false","Unknown","SMC3_HUMAN (Unknown) WAPL_HUMAN"
